624,375,342,387,744,741,654,762,1
472,552,408,372,848,824,1016,936,1
416,332,436,380,868,568,1016,976,1
345,555,665,390,610,1270,990,840,1
580,584,376,344,552,1004,1012,772,1
580,588,428,476,564,960,1016,844,1
680,725,520,630,645,1270,1100,965,1
670,555,490,660,615,1270,610,970,1
543,486,504,666,744,447,738,762,1
159,390,717,759,669,318,603,657,1
153,270,762,702,657,504,495,576,1
150,288,762,612,702,498,468,390,1
114,375,573,672,711,762,555,573,1
176,296,364,824,1016,724,616,584,1
116,248,528,952,1016,796,664,608,1
105,264,492,693,576,759,567,510,1
261,279,483,600,579,762,693,618,1
231,354,480,612,537,762,669,504,1
240,402,255,522,489,762,561,594,1
309,327,477,348,597,759,762,723,1
320,232,384,504,548,1016,532,616,1
183,150,516,576,762,591,555,606,1
234,120,543,591,759,633,606,519,1
132,168,390,606,762,630,717,459,1
280,320,408,672,824,600,1016,532,1
272,436,356,616,760,584,1016,552,1
292,448,336,492,688,568,1016,548,1
440,384,600,480,584,940,1016,676,1
276,496,440,480,432,1016,360,788,1
276,500,492,596,564,1016,512,772,1
212,392,520,584,576,1012,648,760,1
207,429,618,588,735,762,558,753,1
90,357,762,642,588,657,597,642,1
198,321,762,693,543,642,654,543,1
172,150,380,256,402,508,478,298,1
180,192,454,332,364,508,498,352,1
216,384,606,375,399,606,762,525,1
207,282,486,336,450,591,762,714,1
171,243,399,273,402,354,609,762,1
288,258,429,300,675,564,762,753,1
240,285,282,243,414,624,762,678,1
222,303,351,183,396,606,762,612,1
230,296,224,108,324,506,484,306,0
228,270,206,134,318,438,508,198,0
236,254,170,150,179,128,166,195,0
229,254,200,180,197,128,143,158,0
224,249,249,171,197,65,153,200,0
254,221,127,135,180,31,144,179,0
229,250,178,148,149,54,115,176,0
207,207,185,156,112,80,98,181,0
160,143,189,126,82,105,126,148,0
166,128,173,160,84,78,91,61,0
157,109,166,155,98,94,87,51,0
145,110,113,110,98,90,87,49,0
124,72,118,118,106,100,89,50,0
108,145,132,95,132,97,86,45,0
109,123,121,91,97,101,51,38,0
127,129,103,98,112,60,34,43,0
178,124,133,139,101,63,35,45,0
186,138,146,97,94,58,45,60,0
254,204,131,92,68,38,39,49,0
254,224,136,48,88,17,42,44,0
254,206,117,92,77,19,37,40,0
254,162,90,130,83,48,57,33,0
254,185,69,144,99,68,25,21,0
217,176,117,197,138,92,55,25,0
209,182,95,172,147,97,80,33,0
181,230,155,156,156,86,108,52,0
153,251,147,121,148,83,104,50,0
191,253,134,105,84,124,82,35,0
161,253,185,143,89,127,73,50,0
210,210,231,159,122,135,61,53,0
195,178,182,151,134,121,27,33,0
170,207,160,122,254,133,129,83,1
114,83,202,184,222,202,254,168,1
162,196,266,244,444,322,308,508,1
188,476,484,672,564,560,596,1016,1
186,375,450,654,603,543,636,762,1
152,444,484,688,696,760,760,1016,1
236,468,444,668,696,668,780,1016,1
285,455,345,615,505,615,1265,695,1
295,365,635,440,415,655,1270,700,1
248,388,828,656,704,596,1012,544,1
222,435,690,615,576,660,762,741,1
228,488,852,708,1012,556,984,928,1
150,411,762,543,624,471,693,627,1
312,424,720,744,1016,612,996,740,1
280,348,580,592,880,772,1016,404,1
230,375,660,540,625,710,1270,765,1
160,465,625,805,585,635,1265,1025,1
165,490,610,695,795,795,1270,865,1
198,231,387,534,288,585,762,750,1
180,244,448,528,536,636,1016,916,1
200,228,328,412,452,504,652,1012,1
236,192,544,256,588,804,848,1012,1
285,201,489,279,405,693,540,762,1
147,225,387,279,393,663,375,762,1
96,136,292,226,284,508,306,416,1
88,142,296,292,270,508,320,368,0
254,88,221,163,156,114,157,178,0
180,253,122,89,219,134,122,254,0
161,253,125,79,171,151,130,171,0
159,253,127,99,145,108,126,164,0
217,254,174,124,111,135,141,161,0
254,230,224,174,232,226,218,205,0
249,254,166,119,153,176,86,98,0
234,253,169,124,144,140,72,78,0
